Module Name,Test Case Name
/Real Appeal/Member/Tracker/Trackers_MyPlan,RA_Member_Tracker_MyPlan_ModifyTheAvgDailyExerciseCalAlertMessages
/Real Appeal/Member/Tracker/Trackers_MyPlan,RA_Member_Tracker_MyPlan_ModifyTheTargetDate
/Real Appeal/Member/Tracker/Trackers_MyPlan,RA_Member_Tracker_MyPlan_ModifyTheWeeklyRate
/Real Appeal/Member/Tracker/Trackers_MyPlan,RA_Member_Tracker_MyPlan_NavigatingToTheMyPlanTab
/Real Appeal/Member/Tracker/Trackers_MyPlan,RA_Member_Tracker_MyPlan_NutritionPlanning
/Real Appeal/Member/Tracker/Trackers_Progress,RA_Member_Tracker_ProgressDurationDropDownValuesInTheGraphs
/Real Appeal/Member/Tracker/Trackers_Water,RA_Member_Tracker_FillingTheEmptyGlasses
/Real Appeal/Member/Tracker/Trackers_Weight,RA_Member_Tracker_WeightFitbitWeight
/Real Appeal/Member/Tracker/Trackers_Weight,RA_Member_Tracker_WeightJawboneWeight
/Real Appeal/Coach/Classes_Sessions,RA_Coach_ClassesSessions_ClassDetailsHeaders
/Real Appeal/Coach/Classes_Sessions,RA_Coach_ClassesSessions_ClassesSearch
/Real Appeal/Coach/Classes_Sessions,RA_Coach_ClassesSessions_ComposeMessage
/Real Appeal/Coach/Classes_Sessions,RA_Coach_ClassesSessions_GroupSessionNotes
/Real Appeal/Coach/Classes_Sessions,RA_Coach_ClassesSessions_MemberDetailsInClassesGrid
/Real Appeal/Coach/Classes_Sessions,RA_Coach_ClassesSessions_ProgressChart
/Real Appeal/Coach/Classes_Sessions,RA_Coach_ClassesSessions_ProviderNotes
/Real Appeal/Coach/Creation_Activation,RA_Coach_CreationActivation_ApproveAndActivateNewCoach
/Real Appeal/Coach/Creation_Activation,RA_Coach_CreationActivation_CreateCoachForHBMIProgram
/Real Appeal/Coach/Creation_Activation,RA_Coach_CreationActivation_CreateCoachForRAGroupSession
/Real Appeal/Coach/Creation_Activation,RA_Coach_CreationActivation_CreateCoachHBMI1ForHBMI
/Real Appeal/Coach/Dashboard,RA_Coach_Dashboard_CSSessionInCalendar
/Real Appeal/Coach/Dashboard,RA_Coach_Dashboard_GroupSessionConflictShouldShowFindASubstituteOption
/Real Appeal/Coach/Dashboard,RA_Coach_Dashboard_Members_Configurablecolumns
/Real Appeal/Coach/Dashboard,RA_Coach_Dashboard_View_All_Messages
/Real Appeal/Coach/Idle Member,RA_Coach_IdleMember_CoachAccessingIdleMembersProfile
/Real Appeal/Coach/Idle Member,RA_Coach_IdleMember_MemberListIdleMembers
/Real Appeal/Coach/Member,RA_Coach_Member_ClickOnMemberTabAllOptionShouldBeDefaultInSearchDropdown
/Real Appeal/Coach/Member,RA_Coach_Member_ClickOnMemberTabMemberNameShouldBeAscendingOrderInMemberListPage
/Real Appeal/Coach/Member,RA_Coach_Member_CompareFirstnameAloneFromUIAndDB
/Real Appeal/Coach/Member,RA_Coach_Member_CompareFirstnameAndLastNameByBothUIAndDB
/Real Appeal/Coach/Member,RA_Coach_Member_CompareLastnameAloneFromUIAndDB
/Real Appeal/Coach/Member,RA_Coach_Member_EnterInvalidFirstnameAndLastnameAndVerifyNoResultsFound
/Real Appeal/Coach/Member,RA_Coach_Member_MemberListCountVerificationWhileMemberSortingUsingName
/Real Appeal/Coach/Member,RA_Coach_Member_MemberSettingsIfAllThePreferencesAreCheckedOffCheck
/Real Appeal/Coach/Member,RA_Coach_Member_MemberSortingUsingAvailableOptionUnderSearchDropdown
/Real Appeal/Coach/Member,RA_Coach_Member_MemberSortingUsingDifferentOnboardingStatus
/Real Appeal/Coach/Member,RA_Coach_Member_ObserveIfTheLeftPageNavigationButtonIsDisabledInTheFirstPageOfMemberList
/Real Appeal/Coach/Member,RA_Coach_Member_ProgressTabWithTheGraphCharts
/Real Appeal/Coach/Member,RA_Coach_Member_SearchFieldInTheMemberListMustBeDisabledWhenTheAllOptionInTheSearchFilter
/Real Appeal/Coach/Member,RA_Coach_Member_SelectClientInSearchFilterEnterValidClientWithSpaceBeforeTheTextInTheTextboxShouldBeEntered
/Real Appeal/Coach/Member,RA_Coach_Member_SelectClientInTheSearchFilterEnterValidClientName
/Real Appeal/Coach/Member,RA_Coach_Member_SelectOnboardingStatusInSearchFilterOfIEnterSpacesBeforeTheTextInTheTextbox
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyClickOnClassroomLinkOnMemberstabIsNavigatedToClassestab
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyClientHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyCoachHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyColumnHeadersSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyEmailHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyErrorMessageByGivingValidAndInvalidMemberID
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyMemberIDHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyOnboardingStatusHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/Coach/Member,RA_Coach_Member_VerifyProgramHeaderSortingByAscendingtoDescendingAndDescendingtoAscending
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_AccessingMessageListByCoach
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_Coach_ReplyToAMessage
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_CoachCanAlsoSendMessagesToTheInactiveCoachesOrPAOfSameOrg
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_CoachSendsAndReceivesMessagesFromTheMembersOnlyAssignedToHim
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_CoachSendsMessagesOnlyToPAWhoBelongToTheSameOrganization
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_CoachSendsMessagesToOtherCoachesWhoBelongToTheSameOrganization
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_ComposeANewMessage
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_LookupFunctionalityOnComposeWindow
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_LookUpNameFeatureBySelectingMDACOptionFromToFilter
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_MDACJIRADashboardActivity
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_MDACJIRAStatusIsChangingToCallCentre
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_MDACMsgIsMovedFromMDACPendingToInbox
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_MessageListPreviewSentByAMember
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_NewMessagesAreDisplayedOnDashboardWithALinkToViewAllMessages
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_RatingGivenByMemberToTheCoach
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_SearchFilterFunctionalityOnComposeWindow
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_SelectTheClassOptionInToTheFilterAndObserveTheEditableBehavior
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_TransitionFromMDACPendingMsgFromJira
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_TransitionFromMDACPendingToInboxWhenMDACResolvesAMsgAsCannotReproduce
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_TransitionFromMDACPendingToInboxWhenMDACResolvesAMsgAsDone
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_TransitionFromMDACPendingToInboxWhenMDACResolvesAMsgAsDuplicate
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_TransitionFromMDACPendingToInboxWhenMDACResolvesAMsgAsIncomplete
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_TransitionFromMDACPendingToInboxWhenMDACResolvesAMsgAsWontDo
/Real Appeal/Coach/Message Center,RA_Coach_MessageCenter_TransitionFromMDACPendingToInboxWhenMDACResolvesAMsgAsWontFix
/Real Appeal/Coach/Profile,RA_Coach_Profile_My_Profile_Edit
/Real Appeal/Coach/Profile,RA_Coach_Profile_My_Profile_General_Default_Tab
/Real Appeal/Coach/Profile,RA_Coach_Profile_My_Profile_Verify_Following_Subtasks
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_AllRA-PDMembersGroupedUnderOneUnapprovedClass
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_AllRANPDMembersGroupedUnderOneScheduledClass
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ApprovedUnApprovedClassroomSearchAndPagination
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CalendarofNewCoach
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CancelledTimeslotByMemberAvailableForSelectionInCSGrid
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ChangeAvailability
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ChangeClassOptionAvailableForClassroomNotApprovedMembers
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ChangeTimezone
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CheckAvailablility
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CheckTheOnboardingStatusOfMembers
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ClassroomSizeMinOptMaxLimits
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ClassroomsWithInsufficientStatusAfterTheCRJobRuns
